INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr
Whitlow,AZ-TNF,411,842,Human,4/21/20,4/27/20,33.2963,-111.252,Short Grass (1 foot),AZ,TNF,411,USFS,7,CWZ,PHC
Charlie Moore,AZ-ASF,145,41,Unknown,5/8/20,5/11/20,33.3616,-109.089,Timber (Litter and Understory),AZ,ASF,145,USFS,7,WMZ,SDC
EAST DESERT,AZ-A4S,491,1492,Human,5/17/20,5/22/20,33.8414,-112.020,Tall Grass (2.5 feet),AZ,A4S,491,AZS,5,CWZ,ADC
Jackrabbit,AZ-PHD,674,2034,Unknown,5/25/20,5/27/20,33.8069,-113.050,Brush (2 feet),AZ,PHD,674,BLM,2,CWZ,PDC
Hat,AZ-PHD,695,583,Unknown,5/27/20,6/1/20,32.6444,-112.741,Short Grass (1 foot),AZ,PHD,695,BLM,2,CWZ,PDC
Park,AZ-SCA,1214,625,Unknown,5/27/20,6/10/20,33.3653,-110.451,Short Grass (1 foot),AZ,SCA,1214,BIA,1,CWZ,PHC
RANGE,AZ-A3S,635,3286,Human,5/29/20,5/31/20,33.0983,-111.356,Tall Grass (2.5 feet),AZ,A3S,635,AZS,5,SEZ,TDC
OCOTILLO,AZ-A4S,655,980,Unknown,5/30/20,6/2/20,33.8371,-111.960,Tall Grass (2.5 feet),AZ,A4S,655,AZS,5,CWZ,ADC
Sawtooth,AZ-TNF,1306,24729,Lightning/Natural,5/31/20,6/17/20,33.4018,-111.297,Short Grass (1 foot),AZ,TNF,1306,USFS,7,CWZ,PHC
Sunset,AZ-PHD,756,3964,Human,5/31/20,6/6/20,34.1498,-112.139,Tall Grass (2.5 feet),AZ,PHD,756,BLM,2,CWZ,PDC
RAFAEL,AZ-A3S,677,440,Lightning/Natural,5/31/20,6/7/20,31.3375,-110.595,Tall Grass (2.5 feet),AZ,A3S,677,AZS,5,SEZ,TDC
Blue River,AZ-SCA,1403,30408,Unknown,6/5/20,6/26/20,33.4345,-110.358,Tall Grass (2.5 feet),AZ,SCA,1403,BIA,1,CWZ,PHC
BIGHORN,AZ-CNF,413,119978,Lightning/Natural,6/6/20,7/23/20,32.3780,-110.927,Short Grass (1 foot),AZ,CNF,413,USFS,7,SEZ,TDC
TORTOLITA,AZ-A3S,747,3321,Lightning/Natural,6/6/20,6/12/20,32.5292,-111.035,Short Grass (1 foot),AZ,A3S,747,AZS,5,SEZ,TDC
EMIGRANT,AZ-CNF,417,4756,Unknown,6/6/20,6/15/20,32.0951,-109.373,Tall Grass (2.5 feet),AZ,CNF,417,USFS,7,SEZ,TDC
Dry Lake,AZ-SCA,1418,4369,Unknown,6/6/20,6/26/20,33.3847,-109.865,Tall Grass (2.5 feet),AZ,SCA,1418,BIA,1,CWZ,PHC
Bringham,AZ-ASF,383,23142,Lightning/Natural,6/6/20,7/29/20,33.4151,-109.312,Short Grass (1 foot),AZ,ASF,383,USFS,7,WMZ,SDC
MANGUM,AZ-KNF,359,71450,Unknown,6/8/20,7/24/20,36.6276,-112.350,Short Grass (1 foot),AZ,KNF,359,USFS,7,NAZ,WDC
CANOA,AZ-CNF,443,583,Unknown,6/10/20,6/15/20,31.4977,-111.448,Tall Grass (2.5 feet),AZ,CNF,443,USFS,7,SEZ,TDC
Bush,AZ-TNF,1581,193455,Human,6/13/20,7/4/20,33.6257,-111.562,Short Grass (1 foot),AZ,TNF,1581,USFS,7,CWZ,PHC
Central,AZ-TNF,1669,4499,Human,6/20/20,6/30/20,33.9307,-112.068,Short Grass (1 foot),AZ,TNF,1669,USFS,7,CWZ,PHC
AIRPORT,AZ-BAR,498,674,Human,6/22/20,6/25/20,31.5884,-111.522,Tall Grass (2.5 feet),AZ,BAR,498,FWS,3,SEZ,TDC
AQUILA,AZ-A4S,989,899,Human,6/23/20,6/26/20,33.8066,-112.119,Short Grass (1 foot),AZ,A4S,989,AZS,5,CWZ,ADC
AVONDALE,AZ-BAR,514,819,Human,6/26/20,6/30/20,33.3824,-112.331,Brush (2 feet),AZ,BAR,514,FWS,3,SEZ,TDC
Wood Springs 2,AZ-NAA,156,12861,Lightning/Natural,6/27/20,7/12/20,35.8401,-109.378,Timber (Litter and Understory),AZ,NAA,156,BIA,1,NAZ,FDC
Cordes,AZ-PHD,1111,350,Unknown,6/29/20,6/30/20,34.3073,-112.132,Tall Grass (2.5 feet),AZ,PHD,1111,BLM,2,CWZ,PDC
Polles,AZ-TNF,1830,628,Lightning/Natural,7/3/20,7/23/20,34.2664,-111.540,Short Grass (1 foot),AZ,TNF,1830,USFS,7,CWZ,PHC
MONUMENT,AZ-A1S,1211,1785,Lightning/Natural,7/5/20,7/30/20,35.6317,-112.747,Short Grass (1 foot),AZ,A1S,1211,AZS,5,CWZ,ADC
FRESNAL,AZ-CNF,574,502,Human,7/6/20,7/12/20,31.4444,-111.418,Chaparral (6 feet),AZ,CNF,574,USFS,7,SEZ,TDC
BUREN,AZ-A4S,1300,2800,Unknown,7/11/20,7/12/20,33.4486,-113.221,Tall Grass (2.5 feet),AZ,A4S,1300,AZS,5,CWZ,ADC
JACKSON,AZ-GID,598,2946,Lightning/Natural,7/11/20,7/21/20,32.9172,-110.144,Short Grass (1 foot),AZ,GID,598,BLM,2,SEZ,TDC
NAVARRO,AZ-A3S,1305,2306,Unknown,7/11/20,7/14/20,31.9549,-111.183,Short Grass (1 foot),AZ,A3S,1305,AZS,5,SEZ,TDC
CHILTEPINES,AZ-A3S,1310,334,Lightning/Natural,7/12/20,7/30/20,31.7705,-111.506,Tall Grass (2.5 feet),AZ,A3S,1310,AZS,5,SEZ,TDC
Slate,AZ-PNF,1279,3.6,Lightning/Natural,7/12/20,7/16/20,34.4036,-112.471,Chaparral (6 feet),AZ,PNF,1279,USFS,7,CWZ,PDC
Pine,AZ-PNF,1288,2184,Lightning/Natural,7/12/20,8/13/20,34.2942,-111.811,Timber (Grass and Understory),AZ,PNF,1288,USFS,7,CWZ,PDC
Yankee Joe,AZ-TNF,2028,425,Lightning/Natural,7/12/20,7/19/20,33.6997,-110.698,Tall Grass (2.5 feet),AZ,TNF,2028,USFS,7,CWZ,PHC
Blue River 2,AZ-SCA,2036,28051,Unknown,7/13/20,7/28/20,33.4789,-110.298,Tall Grass (2.5 feet),AZ,SCA,2036,BIA,1,CWZ,PHC
Valley,AZ-SCA,2037,29639,Unknown,7/13/20,7/25/20,33.3878,-110.391,Tall Grass (2.5 feet),AZ,SCA,2037,BIA,1,CWZ,PHC
WHOA Canyon,AZ-ASF,607,426,Lightning/Natural,7/14/20,8/1/20,33.5444,-109.089,Timber (Grass and Understory),AZ,ASF,607,USFS,7,WMZ,SDC
THUMB,AZ-TCA,551,8354,Lightning/Natural,7/16/20,7/31/20,36.3308,-112.573,Brush (2 feet),AZ,TCA,551,BIA,1,NAZ,WDC
HORSEFLAT,AZ-TCA,615,785,Lightning/Natural,7/24/20,8/6/20,35.8208,-113.777,Short Grass (1 foot),AZ,TCA,615,BIA,1,NAZ,WDC
Willow,AZ-ASF,689,281,Lightning/Natural,7/30/20,8/6/20,34.5719,-111.011,Timber (Grass and Understory),AZ,ASF,689,USFS,7,WMZ,SDC
Pocket,AZ-CRD,1471,364,Human,7/31/20,8/2/20,35.7911,-114.207,Short Grass (1 foot),AZ,CRD,1471,BLM,2,CWZ,PDC
Bonito,AZ-FTA,697,52,Lightning/Natural,7/31/20,9/7/20,33.7454,-109.670,Timber (Litter and Understory),AZ,FTA,697,BIA,1,WMZ,SDC
Pig,AZ-COF,1277,495,Unknown,8/1/20,8/20/20,34.7133,-111.727,Chaparral (6 feet),AZ,COF,1277,USFS,7,NAZ,FDC
Cassadore Springs,AZ-SCA,2339,21428,Lightning/Natural,8/1/20,8/20/20,33.5439,-110.420,Timber (Grass and Understory),AZ,SCA,2339,BIA,1,CWZ,PHC
Kean,AZ-SCA,2341,1300,Lightning/Natural,8/1/20,8/5/20,33.5148,-110.425,Short Grass (1 foot),AZ,SCA,2341,BIA,1,CWZ,PHC
Bumble Bee,AZ-PHD,1536,2993,Unknown,8/7/20,8/13/20,34.1742,-112.175,Tall Grass (2.5 feet),AZ,PHD,1536,BLM,2,CWZ,PDC
Winters,AZ-TNF,2398,393,Human,8/8/20,8/15/20,33.5403,-110.689,Tall Grass (2.5 feet),AZ,TNF,2398,USFS,7,CWZ,PHC
GOLDFIELD,AZ-A4S,1646,1970,Unknown,8/10/20,8/12/20,33.5976,-111.590,Tall Grass (2.5 feet),AZ,A4S,1646,AZS,5,CWZ,ADC
KLAUS,AZ-CNF,742,4864,Lightning/Natural,8/10/20,8/19/20,31.7553,-109.138,Short Grass (1 foot),AZ,CNF,742,USFS,7,SEZ,TDC
WOOD CANYON,AZ-GID,751,2320,Lightning/Natural,8/12/20,8/18/20,32.3881,-109.090,Short Grass (1 foot),AZ,GID,751,BLM,2,SEZ,TDC
SPUD ROCK,AZ-SAP,755,760,Lightning/Natural,8/13/20,9/11/20,32.2025,-110.542,Timber (Litter and Understory),AZ,SAP,755,NPS,4,SEZ,TDC
SADDLE,AZ-CNF,769,350,Lightning/Natural,8/15/20,8/22/20,31.4966,-110.648,Short Grass (1 foot),AZ,CNF,769,USFS,7,SEZ,TDC
Quail,AZ-SCA,2467,2064,Unknown,8/15/20,8/20/20,33.4289,-110.524,Tall Grass (2.5 feet),AZ,SCA,2467,BIA,1,CWZ,PHC
Bull,AZ-TNF,2475,545,Lightning/Natural,8/16/20,8/25/20,34.2053,-111.585,Short Grass (1 foot),AZ,TNF,2475,USFS,7,CWZ,PHC
Gin,AZ-TNF,2481,4849,Lightning/Natural,8/16/20,8/22/20,33.5252,-110.731,Short Grass (1 foot),AZ,TNF,2481,USFS,7,CWZ,PHC
HIGH CREEK,AZ-A3S,1734,1642,Lightning/Natural,8/16/20,8/20/20,33.1233,-110.934,Tall Grass (2.5 feet),AZ,A3S,1734,AZS,5,SEZ,TDC
ELDER,AZ-GID,779,590,Lightning/Natural,8/16/20,8/22/20,33.1412,-110.904,Tall Grass (2.5 feet),AZ,GID,779,BLM,2,SEZ,TDC
KROZIER,AZ-GID,780,141,Lightning/Natural,8/16/20,8/19/20,32.9778,-110.914,Short Grass (1 foot),AZ,GID,780,BLM,2,SEZ,TDC
Ridge,AZ-CRD,1644,3079,Lightning/Natural,8/16/20,9/2/20,35.0077,-113.879,Chaparral (6 feet),AZ,CRD,1644,BLM,2,CWZ,PDC
WESTRIDGE,AZ-A3S,1757,480,Unknown,8/17/20,8/23/20,32.5267,-111.080,Short Grass (1 foot),AZ,A3S,1757,AZS,5,SEZ,TDC
Griffin,AZ-TNF,2510,61821,Lightning/Natural,8/17/20,9/6/20,33.5824,-110.701,Short Grass (1 foot),AZ,TNF,2510,USFS,7,CWZ,PHC
Salt,AZ-TNF,2511,21670,Lightning/Natural,8/17/20,9/7/20,33.5599,-110.904,Short Grass (1 foot),AZ,TNF,2511,USFS,7,CWZ,PHC
Lofer,AZ-FTA,817,1256,Lightning/Natural,8/18/20,9/22/20,33.7423,-109.709,Timber (Grass and Understory),AZ,FTA,817,BIA,1,WMZ,SDC
Cow Canyon,AZ-ASF,819,35371,Lightning/Natural,8/18/20,12/4/20,33.5584,-109.093,Timber (Grass and Understory),AZ,ASF,819,USFS,7,WMZ,SDC
BLACK CANYON,AZ-TCA,787,7897,Lightning/Natural,8/18/20,9/9/20,35.7415,-113.805,Short Grass (1 foot),AZ,TCA,787,BIA,1,NAZ,WDC
Red Box Well,AZ-SCA,2532,585,Lightning/Natural,8/18/20,8/26/20,33.5900,-110.171,Short Grass (1 foot),AZ,SCA,2532,BIA,1,CWZ,PHC
TEA POT,AZ-A3S,1790,349,Unknown,8/18/20,8/28/20,33.2067,-111.013,Brush (2 feet),AZ,A3S,1790,AZS,5,SEZ,TDC
Rolls,AZ-TNF,2533,1350,Lightning/Natural,8/18/20,8/25/20,33.6340,-111.501,Tall Grass (2.5 feet),AZ,TNF,2533,USFS,7,CWZ,PHC
Pocket,AZ-TNF,2543,185,Lightning/Natural,8/19/20,8/25/20,34.1758,-111.146,Tall Grass (2.5 feet),AZ,TNF,2543,USFS,7,CWZ,PHC
Superstition,AZ-TNF,2551,9539,Lightning/Natural,8/20/20,9/10/20,33.4050,-111.385,Short Grass (1 foot),AZ,TNF,2551,USFS,7,CWZ,PHC
CONSTELLATION,AZ-A5S,1807,12252,Lightning/Natural,8/20/20,8/26/20,34.0467,-112.543,Short Grass (1 foot),AZ,A5S,1807,AZS,5,CWZ,ADC
MCDOWELL,AZ-A4S,1828,615,Lightning/Natural,8/20/20,8/24/20,33.6397,-111.776,Brush (2 feet),AZ,A4S,1828,AZS,5,CWZ,ADC
Rockhouse,AZ-SCA,2574,19506,Lightning/Natural,8/21/20,9/16/20,33.0926,-110.575,Short Grass (1 foot),AZ,SCA,2574,BIA,1,CWZ,PHC
Verde,AZ-TNF,2575,360,Unknown,8/21/20,8/31/20,34.0583,-111.723,Short Grass (1 foot),AZ,TNF,2575,USFS,7,CWZ,PHC
BUCK,AZ-TCA,803,997,Lightning/Natural,8/21/20,9/2/20,35.5147,-113.516,Short Grass (1 foot),AZ,TCA,803,BIA,1,NAZ,WDC
Medicine,AZ-FTA,867,8930,Lightning/Natural,8/22/20,9/9/20,33.8292,-110.690,Short Grass (1 foot),AZ,FTA,867,BIA,1,WMZ,SDC
Champion,AZ-SCA,2593,495,Lightning/Natural,8/23/20,8/25/20,33.4806,-110.636,Short Grass (1 foot),AZ,SCA,2593,BIA,1,CWZ,PHC
PILOT KNOB,AZ-A5S,1859,11000,Lightning/Natural,8/24/20,9/1/20,34.7969,-113.223,Short Grass (1 foot),AZ,A5S,1859,AZS,5,CWZ,ADC
BASIN,AZ-GID,822,2710,Lightning/Natural,8/24/20,8/30/20,32.8634,-110.534,Short Grass (1 foot),AZ,GID,822,BLM,2,SEZ,TDC
Meddler,AZ-TNF,2600,4452,Unknown,8/24/20,8/30/20,33.6617,-110.898,Tall Grass (2.5 feet),AZ,TNF,2600,USFS,7,CWZ,PHC
BOZARTH,AZ-A5S,1861,5000,Lightning/Natural,8/24/20,8/31/20,34.7403,-113.214,Short Grass (1 foot),AZ,A5S,1861,AZS,5,CWZ,ADC
Hidden,AZ-TNF,2616,6106,Lightning/Natural,8/25/20,9/16/20,33.9805,-111.184,Short Grass (1 foot),AZ,TNF,2616,USFS,7,CWZ,PHC
DOVE,AZ-A3S,1909,942,Lightning/Natural,8/27/20,9/2/20,32.5000,-111.050,Short Grass (1 foot),AZ,A3S,1909,AZS,5,SEZ,TDC
Alder,AZ-SCA,2639,633,Unknown,8/27/20,9/16/20,33.5975,-110.449,Short Grass (1 foot),AZ,SCA,2639,BIA,1,CWZ,PHC
Juniper,AZ-SCA,2640,2867,Lightning/Natural,8/27/20,9/7/20,33.3597,-110.119,Short Grass (1 foot),AZ,SCA,2640,BIA,1,CWZ,PHC
Light,AZ-SCA,2653,937,Human,8/28/20,9/18/20,33.1803,-110.154,Tall Grass (2.5 feet),AZ,SCA,2653,BIA,1,CWZ,PHC
Bolt,AZ-TNF,2658,1420,Lightning/Natural,8/28/20,9/4/20,33.9564,-111.836,Tall Grass (2.5 feet),AZ,TNF,2658,USFS,7,CWZ,PHC
Buck,AZ-TNF,2664,475,Lightning/Natural,8/29/20,9/1/20,33.6953,-110.744,Brush (2 feet),AZ,TNF,2664,USFS,7,CWZ,PHC
TRAIL TANK,AZ-CNF,878,380,Lightning/Natural,9/6/20,9/8/20,32.3294,-110.572,Short Grass (1 foot),AZ,CNF,878,USFS,7,SEZ,TDC
Anchor,AZ-SCA,2805,742,Human,9/17/20,9/24/20,33.3833,-110.467,Tall Grass (2.5 feet),AZ,SCA,2805,BIA,1,CWZ,PHC
Sears,AZ-TNF,2852,14476,Unknown,9/25/20,10/15/20,33.8852,-111.816,Tall Grass (2.5 feet),AZ,TNF,2852,USFS,7,CWZ,PHC
Jake Spring,AZ-ASF,1013,86,Human,10/4/20,10/15/20,34.1136,-109.517,Timber (Litter and Understory),AZ,ASF,1013,USFS,7,WMZ,SDC
ESPINOSA,AZ-A3S,2196,1834,Human,10/5/20,10/24/20,31.6828,-111.352,Tall Grass (2.5 feet),AZ,A3S,2196,AZS,5,SEZ,TDC
ENCINOS,AZ-A3S,2199,14905,Human,10/6/20,10/26/20,31.6229,-111.624,Tall Grass (2.5 feet),AZ,A3S,2199,AZS,5,SEZ,TDC
White,AZ-CRD,2151,337,Unknown,10/10/20,10/16/20,35.3470,-114.089,Tall Grass (2.5 feet),AZ,CRD,2151,BLM,2,CWZ,PDC
Horse,AZ-PNF,2178,9537,Unknown,10/15/20,11/1/20,34.2748,-112.419,"Dormant Brush, Hardwood Slash",AZ,PNF,2178,USFS,7,CWZ,PDC
HABANERO,AZ-A3S,2289,3218,Unknown,10/21/20,11/4/20,33.2719,-110.984,Short Grass (1 foot),AZ,A3S,2289,AZS,5,SEZ,TDC
Trail,AZ-PHD,2241,1674,Unknown,10/24/20,11/2/20,34.1472,-112.118,Tall Grass (2.5 feet),AZ,PHD,2241,BLM,2,CWZ,PDC
THREE HILLS ,AZ-BAR,1013,1350,Human,10/27/20,10/31/20,31.6063,-111.502,Short Grass (1 foot),AZ,BAR,1013,FWS,3,SEZ,TDC
ROUND VALLEY,AZ-CNF,1018,1587,Human,10/31/20,11/6/20,31.7045,-109.203,Short Grass (1 foot),AZ,CNF,1018,USFS,7,SEZ,TDC
WHITE CANYON,AZ-GID,1031,500,Lightning/Natural,11/7/20,11/8/20,33.1856,-111.084,Short Grass (1 foot),AZ,GID,1031,BLM,2,SEZ,TDC